ASV_id	BD28	BD29	BD31	BD45	BD70	BD76	BD77	BD86	BD87	BD88	BD89	BD90	BD91	BD93	BD94	total
ASV_2	2622	2254	1955	1896	4390	2096	570	1840	5189	3638	1725	315	111	1112	1231	30944
ASV_3	0	10	0	0	270	7758	13343	6161	78	35	85	263	0	15	0	28018
ASV_4	2707	7223	0	2806	109	1251	135	2110	104	32	0	0	28	44	43	16592
ASV_5	1518	2315	1450	375	1325	1022	361	1730	1002	109	568	402	428	1866	157	14628
ASV_6	155	122	2675	37	50	416	36	597	651	2680	1704	1363	2036	925	724	14171
ASV_7	2514	2879	189	119	55	277	1142	23	1195	35	84	4529	45	15	9	13110
ASV_8	971	975	1800	727	147	205	151	341	280	5403	306	119	255	1053	73	12806
ASV_9	1778	2239	314	1262	260	115	122	281	2087	138	6	18	120	746	31	9517
ASV_10	578	604	112	141	280	830	925	812	483	1796	404	1081	122	485	691	9344
ASV_11	2005	2045	2255	625	637	806	314	472	0	15	0	0	0	0	0	9174
ASV_12	278	172	87	139	197	2415	3088	1747	88	142	336	83	0	0	0	8772
ASV_13	107	519	449	218	708	1332	957	2974	10	0	25	11	6	1205	0	8521
ASV_14	221	419	72	86	159	874	152	436	671	221	768	309	581	630	926	6525
ASV_15	2034	1429	715	1590	406	105	14	84	16	0	0	0	0	25	0	6418
ASV_16	868	2247	1055	774	230	102	47	142	320	555	0	0	0	9	6	6355
ASV_17	249	687	166	195	176	751	318	432	64	384	1135	429	245	549	55	5835
ASV_18	193	238	74	35	98	249	62	100	798	133	325	406	1162	579	779	5231
ASV_19	3	8	10	0	4489	389	68	158	0	0	0	0	0	0	0	5125
ASV_20	685	417	414	118	225	355	1041	234	334	34	19	724	107	13	308	5028
ASV_21	176	152	202	88	93	110	28	171	65	867	1103	406	313	653	316	4743
ASV_22	0	0	0	10	0	0	0	0	565	992	2203	607	146	133	40	4696
ASV_23	0	0	0	0	0	0	0	0	2380	250	5	2033	6	0	0	4674
ASV_24	0	0	0	0	43	1211	2146	994	0	0	0	65	0	0	0	4459
ASV_25	16	0	385	0	84	43	6	69	51	56	2831	210	189	392	13	4345
ASV_26	310	377	623	16	306	191	810	99	103	10	88	597	107	99	337	4073
ASV_27	0	0	0	0	0	0	0	0	202	990	1372	676	97	454	50	3841
ASV_28	0	0	0	0	483	1084	295	569	101	26	93	50	356	353	205	3615
ASV_29	174	71	79	18	114	269	2346	165	7	23	0	9	0	0	0	3275
ASV_30	43	56	0	13	18	1568	567	968	0	0	0	0	0	0	0	3233
ASV_31	190	52	195	65	92	356	1367	309	13	104	6	21	0	50	8	2828
ASV_32	884	538	142	178	60	508	67	379	0	0	16	14	0	10	0	2796
ASV_33	242	411	227	27	173	186	344	119	124	25	142	380	48	38	112	2598
ASV_34	686	466	417	388	27	49	9	90	141	10	85	46	0	72	0	2486
ASV_35	0	0	0	0	0	15	0	0	20	482	0	1693	134	58	0	2402
ASV_36	5	24	0	0	0	0	50	0	8	32	182	52	375	1460	195	2383
ASV_37	52	19	2091	34	132	0	28	0	0	0	0	0	0	0	0	2356
ASV_38	28	43	12	7	0	0	29	14	0	0	0	4	115	0	2020	2272
ASV_39	91	191	52	130	36	513	954	224	38	7	0	15	0	0	0	2251
ASV_40	147	345	260	75	23	654	316	393	5	0	0	0	0	0	0	2218
ASV_41	40	27	1677	14	108	0	5	270	0	0	44	0	0	0	0	2185
ASV_42	0	0	1021	0	5	205	43	97	140	108	41	115	169	70	24	2038
ASV_43	54	57	22	12	14	0	15	22	306	52	117	167	464	363	339	2004
ASV_44	685	380	0	164	18	22	12	28	488	5	0	0	0	0	0	1802
ASV_45	154	78	197	53	92	89	27	44	449	199	169	78	10	6	79	1724
ASV_46	0	0	6	0	0	0	0	0	367	71	297	491	242	206	17	1697
ASV_47	213	293	164	0	94	43	256	24	39	0	87	315	26	8	90	1652
ASV_48	0	0	0	0	0	0	0	0	9	748	463	37	144	153	16	1570
ASV_49	13	179	236	17	1103	0	0	8	12	0	0	0	0	0	0	1568
ASV_50	419	439	158	70	59	100	103	103	13	0	0	0	0	72	0	1536
ASV_51	14	19	30	6	682	180	412	160	0	0	0	0	0	0	0	1503
ASV_53	335	205	112	130	5	208	4	180	96	6	22	69	15	11	5	1403
ASV_54	10	27	23	0	74	523	70	308	56	0	87	40	114	67	0	1399
ASV_55	52	303	0	0	0	0	0	137	0	35	178	133	113	211	213	1375
ASV_56	67	402	0	83	3	151	343	317	0	0	0	0	0	3	0	1369
ASV_57	0	0	0	0	0	0	0	0	0	0	1047	36	86	196	3	1368
ASV_58	0	0	0	0	0	0	0	0	33	0	730	59	185	251	35	1293
ASV_59	0	0	0	9	0	0	142	45	0	0	0	0	66	89	929	1280
ASV_60	105	217	44	61	36	247	108	132	146	45	41	61	3	19	0	1265
ASV_61	0	0	0	0	0	0	0	0	28	1194	17	20	0	0	0	1259
ASV_62	0	0	0	0	0	0	3	179	0	11	0	0	713	266	40	1212
ASV_63	193	126	23	18	10	55	6	18	295	8	67	321	8	10	0	1158
ASV_64	11	107	171	10	0	0	0	22	755	60	0	0	0	0	19	1155
ASV_65	0	0	0	68	0	0	0	0	0	0	964	37	0	0	82	1151
ASV_66	121	138	95	36	50	100	21	95	60	303	0	28	24	0	30	1101
ASV_67	0	0	0	0	0	0	0	0	204	73	415	200	77	70	48	1087
ASV_68	0	0	4	0	0	0	10	1017	0	0	0	0	0	0	0	1031
ASV_69	0	13	215	0	0	36	7	110	0	37	84	16	173	234	96	1021
ASV_70	865	41	0	111	0	0	0	0	0	0	0	0	0	0	0	1017
ASV_71	0	0	322	0	0	238	49	260	18	32	11	10	9	21	0	970
ASV_72	0	0	0	0	0	0	0	0	20	0	0	633	47	206	64	970
ASV_73	111	252	67	100	33	39	6	61	0	102	78	0	0	120	0	969
ASV_74	33	34	10	15	26	0	37	90	137	52	76	80	100	114	143	947
ASV_75	0	0	11	0	24	243	15	221	19	0	37	17	123	117	112	939
ASV_76	337	175	10	114	0	0	0	0	0	274	0	9	0	0	0	919
ASV_77	286	226	80	96	25	85	0	113	0	0	0	0	0	0	0	911
ASV_78	138	252	73	36	125	162	0	76	0	0	17	0	0	18	0	897
ASV_79	0	0	0	0	0	0	0	0	14	4	0	6	293	355	185	857
ASV_80	0	0	0	0	717	47	49	24	0	0	0	0	0	0	0	837
ASV_81	0	4	0	0	0	0	0	0	0	0	185	0	159	256	226	830
ASV_82	0	0	0	0	814	0	0	0	0	0	0	0	0	0	0	814
ASV_83	0	0	0	0	0	0	0	0	76	0	584	33	35	77	0	805
ASV_84	66	588	54	79	16	0	0	0	0	0	0	0	0	0	0	803
ASV_85	0	0	0	0	0	0	0	0	272	36	272	61	77	61	14	793
ASV_86	0	99	0	0	3	0	6	44	0	39	0	7	68	243	248	757
ASV_87	48	117	39	12	12	0	0	7	65	0	144	100	76	84	38	742
ASV_88	58	66	175	33	5	0	5	19	322	0	0	0	51	0	0	734
ASV_89	0	0	0	0	67	194	26	268	36	0	0	0	44	51	41	727
ASV_90	0	0	0	10	299	113	226	73	0	0	0	0	0	0	0	721
ASV_91	21	0	344	0	18	108	40	104	29	14	19	23	0	0	0	720
ASV_92	0	0	0	0	0	0	0	0	0	216	254	157	0	88	0	715
ASV_93	418	124	39	37	29	0	50	0	0	0	0	0	0	0	0	697
ASV_94	0	0	0	0	0	127	0	349	0	0	72	108	9	7	0	672
ASV_95	0	17	158	5	10	202	0	128	0	0	42	25	32	26	0	645
ASV_96	10	54	48	23	0	0	10	46	191	235	0	0	0	24	0	641
ASV_97	106	173	93	40	0	0	0	18	11	5	32	13	11	43	93	638
ASV_98	0	0	0	0	0	0	0	0	6	0	259	212	118	21	0	616
ASV_99	5	0	5	0	0	57	0	419	5	0	0	0	18	90	13	612
ASV_100	40	30	503	13	10	0	7	0	0	0	0	0	0	0	0	603
ASV_101	211	215	92	60	0	17	0	0	0	0	0	0	0	0	0	595
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	139	0	443	582
ASV_103	0	0	0	0	0	0	0	0	7	193	4	112	16	44	188	564
ASV_104	0	0	0	0	0	0	0	0	100	138	45	57	21	9	190	560
ASV_105	140	169	25	61	0	58	10	60	0	0	0	0	0	30	0	553
ASV_106	0	0	0	0	102	196	112	120	0	0	0	0	22	0	0	552
ASV_107	130	137	243	41	0	0	0	0	0	0	0	0	0	0	0	551
ASV_108	0	0	0	0	0	134	12	215	156	16	0	0	0	0	0	533
ASV_109	7	0	198	0	0	0	0	0	0	7	136	55	21	48	57	529
ASV_110	0	0	0	0	0	60	39	380	44	0	0	0	0	4	0	527
ASV_111	65	66	31	0	0	79	57	0	24	0	16	183	0	0	0	521
ASV_112	0	0	0	0	0	0	0	0	0	254	8	14	0	222	22	520
ASV_113	94	102	172	77	0	30	0	36	0	0	0	0	0	0	0	511
ASV_114	0	45	11	14	0	0	0	16	0	276	0	13	11	59	49	494
ASV_115	0	0	0	0	0	0	0	0	12	472	0	0	8	0	0	492
ASV_116	0	0	0	0	0	0	0	0	0	0	0	0	177	221	91	489
ASV_117	0	0	0	0	0	0	0	0	0	0	0	0	34	0	454	488
ASV_118	0	0	0	0	0	236	0	206	0	0	44	0	0	0	0	486
ASV_119	177	96	24	30	6	18	27	86	0	0	5	0	0	0	0	469
ASV_120	0	0	0	0	0	0	0	0	16	36	132	235	12	17	19	467
ASV_121	72	37	197	138	5	7	0	0	0	0	0	0	0	0	0	456
ASV_122	0	0	0	0	0	0	0	0	14	3	0	128	7	217	81	450
ASV_123	0	0	9	0	0	0	0	0	150	38	8	67	79	49	37	437
ASV_124	31	53	43	7	13	0	64	50	23	18	26	74	7	23	0	432
ASV_125	0	0	0	0	14	31	47	16	0	319	0	0	0	0	0	427
ASV_126	19	5	117	0	0	160	0	22	26	4	40	27	0	0	0	420
ASV_127	20	7	72	0	126	61	16	69	9	31	0	7	0	0	0	418
ASV_128	77	171	51	87	16	0	0	0	6	0	3	0	0	0	0	411
ASV_129	53	120	11	34	15	0	30	9	0	0	32	23	3	46	19	395
ASV_130	129	0	8	146	0	0	0	51	0	8	0	5	4	18	24	393
ASV_131	122	119	58	93	0	0	0	0	0	0	0	0	0	0	0	392
ASV_132	106	63	78	55	4	19	0	9	0	0	0	0	6	14	36	390
ASV_133	59	41	0	0	0	28	0	0	14	0	0	247	0	0	0	389
ASV_134	0	0	0	0	0	173	62	153	0	0	0	0	0	0	0	388
ASV_135	0	0	0	0	0	0	0	0	0	0	28	11	134	164	48	385
ASV_136	0	0	0	0	11	16	18	29	217	47	0	0	0	0	46	384
ASV_137	0	0	48	5	0	0	0	0	0	51	0	0	0	144	135	383
ASV_138	0	0	0	0	0	68	0	216	0	0	0	0	61	34	0	379
ASV_139	12	0	0	0	0	0	0	0	0	0	55	27	42	111	130	377
ASV_140	0	0	0	0	0	12	0	9	167	164	0	12	0	0	12	376
ASV_142	82	81	12	22	0	72	86	7	0	0	0	0	0	0	0	362
ASV_143	116	106	41	69	29	0	0	0	0	0	0	0	0	0	0	361
ASV_144	0	0	0	0	0	0	0	0	0	335	0	23	0	0	0	358
ASV_145	0	0	0	0	0	0	0	0	0	0	52	9	55	88	154	358
ASV_147	18	48	43	18	0	33	0	43	0	50	0	0	14	65	0	332
ASV_148	203	44	33	50	0	0	0	0	0	0	0	0	0	0	0	330
ASV_149	0	0	0	0	0	0	0	0	6	296	0	28	0	0	0	330
ASV_150	74	175	36	37	0	0	0	0	0	0	0	0	0	0	0	322
ASV_151	0	0	0	0	0	63	0	146	0	0	0	0	45	59	0	313
ASV_152	97	77	0	0	0	91	0	47	0	0	0	0	0	0	0	312
ASV_153	34	170	24	8	14	22	28	12	0	0	0	0	0	0	0	312
ASV_154	13	15	0	8	10	29	0	10	125	0	0	76	12	14	0	312
ASV_155	5	37	7	34	228	0	0	0	0	0	0	0	0	0	0	311
ASV_156	0	0	0	0	0	0	0	0	0	0	0	0	31	35	245	311
ASV_157	40	34	91	15	20	56	11	27	0	12	0	0	0	0	0	306
ASV_158	266	39	0	0	0	0	0	0	0	0	0	0	0	0	0	305
ASV_159	44	154	44	56	0	0	0	0	0	0	0	0	0	0	0	298
ASV_160	0	0	0	0	0	0	0	0	0	3	110	0	30	43	111	297
ASV_161	0	0	0	0	0	56	0	0	46	0	35	0	31	59	65	292
ASV_162	0	0	0	0	0	0	0	0	0	0	0	10	171	31	80	292
ASV_163	0	0	0	0	0	30	0	38	0	0	31	0	27	58	104	288
ASV_164	0	0	0	0	24	7	96	31	30	10	4	37	10	0	29	278
ASV_165	0	0	0	0	0	0	0	0	0	0	156	83	0	39	0	278
ASV_166	0	0	0	0	0	0	0	0	0	193	6	5	22	41	10	277
ASV_167	24	184	2	26	0	13	0	26	0	0	0	0	0	0	0	275
ASV_168	0	0	0	0	0	98	0	75	0	0	0	0	72	0	29	274
ASV_169	0	0	0	0	0	140	52	75	0	0	0	0	0	0	0	267
ASV_170	0	0	241	19	0	0	0	0	0	0	0	0	0	0	0	260
ASV_171	0	0	0	0	0	0	0	0	0	0	0	0	20	0	238	258
ASV_172	43	45	29	24	43	19	0	19	8	0	12	0	6	6	0	254
ASV_173	105	60	0	42	0	0	26	0	8	0	0	9	0	0	0	250
ASV_174	0	0	0	0	0	0	0	0	0	0	0	6	231	0	13	250
ASV_176	0	0	0	0	0	34	8	23	0	105	0	4	55	20	0	249
ASV_177	0	0	0	0	0	0	19	0	10	19	8	33	8	59	89	245
ASV_178	0	0	0	0	0	0	0	7	49	0	54	20	58	56	0	244
ASV_179	0	0	74	0	0	97	0	38	0	0	0	0	0	33	0	242
ASV_180	22	99	16	30	22	29	11	11	0	0	0	0	0	0	0	240
ASV_181	0	0	93	0	0	0	0	20	11	23	10	22	15	31	13	238
ASV_182	0	0	0	0	0	47	0	0	38	0	77	26	0	50	0	238
ASV_183	18	44	0	0	5	104	0	66	0	0	0	0	0	0	0	237
