ASV_id	BD28	BD29	BD31	BD45	BD70	BD76	BD77	BD86	BD87	BD88	BD89	BD90	BD91	BD93	BD94	total
ASV_79	71	75	0	131	100	29	11	18	20	0	31	26	26	40	13	591
ASV_80	0	364	0	0	0	0	88	0	0	42	33	39	0	25	0	591
ASV_81	49	49	28	47	109	61	113	40	10	3	10	19	7	20	6	571
ASV_82	27	24	26	23	127	16	0	18	0	0	52	0	120	82	51	566
ASV_83	20	20	19	23	35	32	78	17	4	18	17	54	42	39	145	563
ASV_84	44	43	56	59	87	34	0	25	0	31	60	0	48	64	0	551
ASV_85	34	58	21	67	147	58	22	19	25	11	34	15	0	19	0	530
ASV_87	0	0	0	0	0	0	0	0	0	0	0	0	76	75	372	523
ASV_88	46	63	24	49	36	68	45	23	0	17	27	14	35	30	43	520
ASV_89	52	48	15	42	42	63	106	49	28	16	22	28	0	0	0	511
ASV_90	16	0	0	15	53	54	37	29	20	45	99	26	33	29	36	492
ASV_94	104	151	9	139	41	5	4	0	5	0	0	1	2	9	6	476
ASV_95	23	23	12	47	89	64	12	29	31	24	23	9	34	33	12	465
ASV_97	20	6	5	6	0	12	91	13	25	10	55	216	0	0	0	459
ASV_98	42	56	32	74	81	27	9	0	21	0	28	10	26	29	14	449
ASV_100	0	413	0	0	0	0	0	0	0	0	0	0	7	0	21	441
ASV_101	0	0	0	0	0	0	0	0	74	111	37	170	0	15	0	407
ASV_102	20	18	6	19	77	29	15	18	23	24	74	68	8	0	0	399
ASV_103	8	0	0	0	0	0	0	0	7	65	74	138	88	11	8	399
ASV_104	49	31	0	74	53	51	12	21	19	0	38	22	9	12	0	391
ASV_105	18	59	0	0	0	0	187	29	30	37	28	0	0	0	0	388
ASV_106	0	0	0	0	0	0	0	0	0	0	0	137	31	39	170	377
ASV_107	46	91	14	91	25	13	5	12	26	0	10	17	0	18	0	368
ASV_108	39	38	12	18	40	47	10	23	9	10	18	6	29	20	49	368
ASV_109	31	40	18	33	30	26	128	7	5	0	7	19	0	5	9	358
ASV_110	32	35	0	39	17	61	10	70	13	5	11	14	24	23	0	354
ASV_112	0	21	0	0	0	0	61	0	23	19	57	137	0	0	28	346
ASV_113	0	0	0	0	0	0	0	0	0	0	0	68	38	64	176	346
ASV_114	26	0	0	0	18	14	0	18	31	39	41	43	34	56	23	343
ASV_115	48	45	35	0	38	38	0	37	27	0	21	0	22	30	0	341
ASV_117	38	39	14	30	34	33	87	13	5	0	0	26	0	8	11	338
ASV_118	50	30	29	54	0	72	0	41	55	0	0	0	0	0	0	331
ASV_119	18	13	13	0	20	36	0	25	0	79	46	0	33	18	30	331
ASV_120	0	29	0	0	155	46	14	30	0	0	45	10	0	0	0	329
ASV_121	0	150	0	0	0	0	69	0	29	43	0	33	0	0	0	324
ASV_123	39	58	28	26	0	40	0	0	50	0	22	0	26	28	0	317
ASV_124	37	41	14	50	58	50	10	29	8	0	0	0	6	7	0	310
ASV_126	11	9	5	31	119	35	12	35	6	0	14	14	0	3	0	294
ASV_127	37	35	6	25	24	15	0	18	0	12	15	0	34	29	41	291
ASV_129	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	274
ASV_131	17	30	0	19	21	8	0	6	0	2	10	0	52	58	44	267
ASV_132	5	12	20	12	103	12	9	9	0	50	19	0	10	4	0	265
ASV_133	27	24	0	25	0	35	56	18	11	15	0	53	0	0	0	264
ASV_134	11	13	3	0	65	39	16	14	22	9	31	32	0	8	0	263
ASV_135	0	147	0	0	0	21	89	0	0	0	0	0	0	0	0	257
ASV_136	0	0	0	0	0	0	9	0	0	0	0	0	29	54	163	255
ASV_138	0	6	11	5	149	14	7	6	0	0	10	12	0	25	6	251
ASV_139	24	26	31	26	32	13	0	25	10	24	21	0	0	18	0	250
ASV_140	31	0	0	24	58	51	0	43	28	0	0	0	11	0	0	246
ASV_142	26	58	15	56	19	9	8	5	0	0	0	0	7	27	9	239
ASV_143	18	9	11	16	8	13	24	12	8	11	10	29	20	11	38	238
ASV_144	0	0	0	0	0	0	0	0	0	58	25	0	62	70	16	231
ASV_146	20	0	0	0	17	11	0	22	33	42	17	0	36	14	0	212
ASV_147	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	212
ASV_148	0	0	0	0	58	25	12	9	13	26	39	0	0	13	17	212
ASV_149	14	0	8	6	96	20	0	14	0	0	0	5	0	21	22	206
ASV_150	12	33	5	13	0	12	0	0	0	0	0	0	19	85	27	206
ASV_151	15	178	0	0	0	0	0	0	0	0	0	0	0	9	0	202
ASV_152	30	20	0	18	21	0	0	22	0	37	14	0	12	27	0	201
ASV_153	15	0	0	0	0	17	0	4	6	36	43	55	17	7	0	200
ASV_154	5	7	7	6	76	13	6	27	7	13	11	14	5	0	0	197
ASV_155	27	50	6	58	40	9	0	0	0	0	0	0	0	4	0	194
ASV_156	27	69	11	64	8	8	0	0	0	0	0	0	0	6	0	193
ASV_157	0	81	10	0	0	0	0	0	15	19	16	52	0	0	0	193
ASV_158	0	15	19	14	15	0	69	0	0	0	0	20	9	0	32	193
ASV_159	6	24	0	23	18	11	0	9	18	17	36	4	11	9	5	191
ASV_160	22	21	11	0	42	13	0	11	12	0	39	17	0	0	0	188
ASV_161	14	23	4	15	5	11	0	3	10	10	41	0	5	29	15	185
ASV_163	0	0	0	0	15	0	0	0	0	100	0	0	39	26	0	180
ASV_164	3	0	0	7	28	8	11	19	15	24	10	11	23	17	0	176
ASV_165	37	68	0	63	0	0	0	0	0	0	0	0	0	0	0	168
ASV_166	0	0	0	0	0	0	0	0	0	0	0	0	59	62	45	166
ASV_168	16	23	7	26	0	0	6	7	0	0	0	0	44	19	16	164
ASV_169	0	0	0	0	0	0	0	0	34	56	23	51	0	0	0	164
ASV_170	7	31	5	23	28	24	40	5	0	0	0	0	0	0	0	163
ASV_171	18	29	14	19	18	23	20	15	0	0	0	4	0	0	0	160
ASV_172	12	21	14	30	11	5	3	8	3	2	7	4	8	20	12	160
ASV_173	0	0	0	0	0	0	0	0	15	10	0	135	0	0	0	160
ASV_175	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	156
ASV_176	11	11	0	15	21	8	4	21	17	3	11	10	10	3	9	154
ASV_177	0	0	0	0	67	0	22	0	9	13	10	12	0	0	21	154
ASV_178	13	0	6	0	27	0	0	13	0	55	13	0	6	14	0	147
ASV_179	0	0	0	0	14	16	0	44	0	33	0	0	39	0	0	146
ASV_180	0	0	0	0	0	0	0	0	18	16	15	97	0	0	0	146
ASV_181	2	22	11	26	20	8	0	3	0	0	33	5	4	11	0	145
ASV_182	6	0	0	0	0	41	0	29	0	0	46	18	0	0	0	140
ASV_183	12	5	0	0	17	25	0	51	13	0	0	0	15	0	0	138
ASV_186	5	6	4	5	4	7	11	8	0	3	5	6	6	4	58	132
ASV_187	0	0	0	0	4	0	0	0	0	0	0	33	36	24	34	131
ASV_190	0	0	0	0	0	0	0	0	8	20	40	62	0	0	0	130
ASV_191	28	37	11	28	6	9	6	0	2	0	0	0	2	0	0	129
ASV_192	0	40	0	0	0	7	34	10	0	0	17	19	0	0	0	127
ASV_193	0	5	0	0	10	0	26	0	0	0	11	19	0	0	56	127
ASV_195	52	70	0	0	0	0	0	0	0	0	0	0	0	0	0	122
ASV_196	29	35	0	40	0	17	0	0	0	0	0	0	0	0	0	121
ASV_197	22	24	0	26	26	23	0	0	0	0	0	0	0	0	0	121
ASV_198	14	37	6	17	25	12	4	0	0	0	0	0	0	5	0	120
ASV_199	0	0	0	0	0	0	80	0	0	0	0	0	0	0	40	120
ASV_200	11	23	10	16	7	11	34	3	4	0	0	0	0	0	0	119
ASV_201	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	117
ASV_202	11	11	0	16	19	8	15	0	0	0	0	8	7	0	20	115
ASV_203	15	29	9	39	10	12	0	0	0	0	0	0	0	0	0	114
ASV_204	0	0	0	0	0	0	0	0	17	72	16	9	0	0	0	114
ASV_206	11	12	10	8	10	11	45	0	0	0	0	4	0	0	0	111
ASV_208	0	25	0	0	0	0	0	0	15	30	0	29	0	0	11	110
ASV_209	0	4	0	3	4	3	4	0	5	0	4	4	25	15	39	110
ASV_211	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	108
ASV_212	17	65	0	11	0	0	0	0	0	0	3	0	0	0	11	107
ASV_213	0	0	0	0	60	0	0	0	0	0	0	0	0	0	47	107
ASV_214	0	0	0	4	6	0	9	0	0	0	0	0	0	7	80	106
ASV_215	0	0	0	0	0	0	0	0	0	0	7	12	19	14	54	106
ASV_216	11	15	0	0	41	19	0	11	0	0	8	0	0	0	0	105
ASV_218	0	0	0	0	0	0	0	0	0	0	48	57	0	0	0	105
ASV_219	0	31	0	0	36	0	0	0	0	0	37	0	0	0	0	104
ASV_220	0	7	0	15	13	15	3	11	2	6	10	9	7	2	0	100
ASV_221	0	0	0	0	0	0	0	0	0	0	0	5	6	28	61	100
ASV_222	10	6	6	11	14	0	0	0	17	0	7	8	9	11	0	99
ASV_224	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	99
ASV_225	0	0	0	0	44	0	9	0	0	0	39	7	0	0	0	99
ASV_226	0	0	0	0	0	0	0	0	0	0	41	58	0	0	0	99
ASV_227	15	24	9	22	16	5	0	0	0	0	0	0	0	7	0	98
ASV_228	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	98
ASV_229	0	0	9	0	23	6	0	0	0	0	11	0	19	15	14	97
ASV_230	0	0	0	0	0	54	0	43	0	0	0	0	0	0	0	97
ASV_231	0	0	0	0	0	0	0	0	0	39	0	56	0	0	0	95
ASV_232	0	0	0	0	0	0	0	0	0	0	0	0	19	27	49	95
ASV_233	16	0	0	24	9	0	0	23	0	0	0	0	19	0	0	91
ASV_234	6	3	12	2	4	9	6	12	5	2	8	9	0	13	0	91
ASV_235	0	0	0	0	0	0	10	0	0	0	0	7	11	24	39	91
ASV_236	0	0	0	0	0	0	0	0	0	0	68	23	0	0	0	91
ASV_237	13	34	7	23	0	6	0	0	0	0	0	0	0	7	0	90
ASV_238	11	21	3	22	19	10	0	0	0	0	0	0	0	3	0	89
ASV_240	0	0	0	0	52	14	0	14	0	7	0	0	0	0	0	87
ASV_241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	87
ASV_242	7	9	6	4	8	0	0	6	0	0	5	0	21	14	6	86
ASV_243	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	86
